Route Name,Route Link,Bus Name,Bus Type,Departure Time,Arrival Time,Duration,Seat Availability,Price,Star Rating,state
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,AC Sleeper (2+1),23:30,06:45,07h 15m,14 Seats available,649.0,4.7,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),22:35,05:05,06h 30m,26 Seats available,500.0,4.5,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,AdSai RK Travels,Non A/C Seater / Sleeper (2+1),22:55,04:10,05h 15m,27 Seats available,450.0,3.8,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:50,05:35,05h 45m,24 Seats available,479.0,4.4,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri KVR Travels,A/C Sleeper (2+1),23:35,05:15,05h 40m,15 Seats available,499.0,4.5,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Svkdt travels,A/C Sleeper (2+1),23:35,05:50,06h 15m,15 Seats available,549.0,4.4,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri Atluri Travels,A/C Seater / Sleeper (2+1),22:15,05:07,06h 52m,22 Seats available,460.0,4.0,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:59,06:30,06h 31m,19 Seats available,599.0,4.4,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:05,06:00,06h 55m,29 Seats available,349.0,4.3,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Zingbus Plus,A/C Seater / Sleeper (2+1),23:38,06:05,06h 27m,30 Seats available,358.0,4.4,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,AC Sleeper (2+1),23:25,06:05,06h 40m,23 Seats available,599.0,4.3,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,GMRK Tours and Travels,Volvo A/C Semi Sleeper (2+2),23:45,05:25,05h 40m,32 Seats available,499.0,4.6,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),22:30,06:00,07h 30m,24 Seats available,332.0,4.2,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),22:35,05:15,06h 40m,19 Seats available,356.0,4.3,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri Durga Malleswari Travels,A/C Sleeper (2+1),23:10,05:25,06h 15m,18 Seats available,570.0,4.3,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),00:15,06:25,06h 10m,28 Seats available,379.0,4.3,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),23:20,05:45,06h 25m,32 Seats available,450.0,4.5,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater/Sleeper (2+1),23:00,06:00,07h 00m,17 Seats available,413.0,4.1,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),23:50,06:30,06h 40m,29 Seats available,356.0,4.2,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri Sanvi Tours and Travels,A/C Sleeper (2+1),23:12,04:53,05h 41m,20 Seats available,503.0,4.2,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),00:20,06:30,06h 10m,33 Seats available,450.0,4.5,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),21:30,04:20,06h 50m,21 Seats available,332.0,4.1,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,LVR Travels,Non A/C Seater / Sleeper (2+1),22:13,04:55,06h 42m,19 Seats available,440.0,4.0,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,06:05,06h 20m,19 Seats available,349.0,4.1,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Svkdt travels,A/C Seater / Sleeper (2+1),23:35,05:30,05h 55m,6 Seats available,399.0,4.1,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Yolo Bus,A/C Seater / Sleeper (2+1),22:46,05:24,06h 38m,21 Seats available,450.0,4.1,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),23:15,06:35,07h 20m,26 Seats available,408.0,4.2,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Svkdt travels,A/C Sleeper (2+1),23:35,05:50,06h 15m,18 Seats available,549.0,4.0,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),23:13,04:20,05h 07m,15 Seats available,450.0,4.1,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),23:30,06:30,07h 00m,22 Seats available,332.0,3.9,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri Durga Malleswari Travels,A/C Sleeper (2+1),23:10,04:35,05h 25m,17 Seats available,570.0,4.1,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,AC Sleeper (2+1),22:45,05:50,07h 05m,22 Seats available,599.0,3.9,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),22:30,05:35,07h 05m,29 Seats available,332.0,3.8,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Tirumala Xpress,A/C Sleeper (2+1),23:00,05:50,06h 50m,26 Seats available,422.0,3.8,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri KVR Travels,NON A/C Sleeper (2+1),23:01,05:31,06h 30m,27 Seats available,500.0,4.0,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater/Sleeper (2+1),22:00,05:10,07h 10m,16 Seats available,332.0,4.2,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),22:00,05:20,07h 20m,22 Seats available,408.0,4.0,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,V Kaveri Travels,A/C Seater / Sleeper (2+1),23:00,04:15,05h 15m,20 Seats available,500.0,3.9,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,LVR Travels,Non A/C Seater / Sleeper (2+1),23:37,05:45,06h 08m,22 Seats available,377.0,3.9,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,LVP Travels,A/C Seater / Sleeper (2+1),22:19,04:45,06h 26m,31 Seats available,480.0,3.8,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri Atluri Travels,NON AC Seater / Sleeper 2+1,20:05,04:20,08h 15m,25 Seats available,400.0,4.7,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Nani Svkdt Travels,A/C Sleeper (2+1),23:20,04:25,05h 05m,21 Seats available,696.0,3.9,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Anjani Bus,A/C Seater / Sleeper (2+1),22:45,04:40,05h 55m,29 Seats available,449.0,3.5,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Tirumala Travels,A/C Sleeper (2+1),22:08,04:30,06h 22m,19 Seats available,494.0,4.4,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri Durga Malleswari Travels,A/C Seater / Sleeper (2+1),21:00,04:40,07h 40m,26 Seats available,428.0,3.8,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Orange Tours And Travels,A/C Sleeper (2+1),22:25,04:45,06h 20m,30 Seats available,700.0,3.5,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),23:00,05:30,06h 30m,43 Seats available,400.0,3.4,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Morning Star Travels,A/C Sleeper (2+1),23:05,05:20,06h 15m,13 Seats available,590.0,3.6,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Go Tour Travels and Holidays,A/C Seater / Sleeper (2+1),22:48,04:15,05h 27m,20 Seats available,531.0,4.5,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Zingbus Plus,A/C Seater / Sleeper (2+1),23:03,05:30,06h 27m,28 Seats available,342.0,4.4,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),19:05,03:00,07h 55m,25 Seats available,569.0,4.8,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri Venkata Padmavathi Travels,Non A/C Seater / Sleeper (2+1),22:42,06:00,07h 18m,33 Seats available,490.0,3.6,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,SAMANVI CITICONNECT,Non A/C Seater / Sleeper (2+1),22:25,04:15,05h 50m,21 Seats available,560.0,3.3,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,AC Sleeper (2+1),20:40,03:30,06h 50m,21 Seats available,809.0,5.0,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,BSR Tours And Travels,VE A/C Sleeper (2+1),22:00,04:10,06h 10m,13 Seats available,880.0,4.4,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),22:55,05:45,06h 50m,17 Seats available,700.0,3.2,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Kaveri Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),21:30,03:30,06h 00m,19 Seats available,700.0,3.9,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,BSR Tours And Travels,A/C Seater / Sleeper (2+1),19:10,01:50,06h 40m,24 Seats available,580.0,3.0,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),22:15,04:25,06h 10m,28 Seats available,400.0,3.7,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),23:00,05:45,06h 45m,37 Seats available,500.0,3.1,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),22:55,05:45,06h 50m,24 Seats available,600.0,3.2,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,CVR Express,Non A/C Seater / Sleeper (2+1),21:40,04:00,06h 20m,22 Seats available,399.0,4.6,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Go Bus Travels,Non A/C Seater / Sleeper (2+1),22:00,04:30,06h 30m,27 Seats available,380.0,4.0,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),18:15,02:10,07h 55m,24 Seats available,569.0,4.7,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Mythri Tours And Travels,A/C Sleeper (2+1),20:20,02:28,06h 08m,16 Seats available,749.0,4.2,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sai Srinivasa Travels,Non A/C Seater / Sleeper (2+1),23:00,04:50,05h 50m,30 Seats available,510.0,3.6,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,CVR Express,Non A/C Seater / Sleeper (2+1),21:40,04:00,06h 20m,33 Seats available,399.0,4.3,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Holidays Tours and Travels,A/C Seater / Sleeper (2+1),22:35,04:24,05h 49m,29 Seats available,449.0,4.9,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sai RK Travels,Non A/C Seater / Sleeper (2+1),23:00,04:35,05h 35m,30 Seats available,450.0,3.8,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),23:00,06:00,07h 00m,28 Seats available,400.0,3.2,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,AC Sleeper (2+1),16:40,00:20,07h 40m,20 Seats available,809.0,4.8,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),22:55,05:15,06h 20m,27 Seats available,600.0,3.0,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri Sai Srinivasa Travels,Non A/C Seater / Sleeper (2+1),22:10,04:30,06h 20m,26 Seats available,550.0,3.9,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,LVR Travels,Non A/C Seater / Sleeper (2+1),22:13,05:05,06h 52m,22 Seats available,404.0,5.0,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,V Kaveri Travels,A/C Sleeper (2+1),22:20,04:30,06h 10m,20 Seats available,800.0,4.4,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,V Kaveri Travels,A/C Seater / Sleeper (2+1),23:00,05:10,06h 10m,15 Seats available,500.0,3.5,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri Atluri Travels,Non A/C Seater / Sleeper (2+1),22:18,03:50,05h 32m,19 Seats available,460.0,5.0,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),23:00,05:30,06h 30m,34 Seats available,500.0,3.1,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,PRK Travels,Non A/C Seater / Sleeper (2+1),22:13,05:25,07h 12m,36 Seats available,489.0,3.9,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Royal Varma Travels,A/C Sleeper (2+1),22:37,04:45,06h 08m,30 Seats available,850.0,3.8,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,BSR Tours And Travels,A/C Sleeper (2+1),22:00,04:00,06h 00m,17 Seats available,880.0,5.0,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),20:40,04:15,07h 35m,28 Seats available,469.0,4.6,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),22:22,04:30,06h 08m,29 Seats available,500.0,3.1,telangana
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Eswar Travels,A/C Seater / Sleeper (2+1),22:25,04:30,06h 05m,22 Seats available,499.0,3.3,telangana
